Year,Period,Trade Flow,Reporter,Partner,Commodity,Commodity Code,Trade Value (US$)
2014,201406,Exports,Belgium,Saudi Arabia,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,1434265
2014,201405,Imports,Belgium,Sweden,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,41995
2014,201409,Exports,Belgium,Algeria,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,8834259
2014,201410,Exports,Belgium,Czech Rep.,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,16700
2014,201410,Imports,Belgium,Norway,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,3192
2014,201409,Exports,Belgium,Argentina,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,686
2014,201405,Imports,Belgium,France,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,6991081
2014,201410,Exports,Belgium,Sweden,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,216797
2014,201407,Imports,Belgium,Ireland,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,408416
2014,201412,Imports,Belgium,Portugal,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,31890
2014,201406,Exports,Belgium,Singapore,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,461372
2014,201406,Exports,Belgium,Luxembourg,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,157569
2014,201407,Exports,Belgium,Burundi,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,111
2014,201406,Exports,Belgium,Slovakia,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,5544
2014,201409,Exports,Belgium,Bangladesh,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,638950
2014,201405,Imports,Belgium,Spain,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,145202
2014,201410,Exports,Belgium,Poland,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,309421
2014,201407,Exports,Belgium,Cameroon,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,365258
2014,201408,Imports,Belgium,Sweden,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,83579
2014,201406,Exports,Belgium,Viet Nam,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,306226
2014,201409,Exports,Belgium,Bulgaria,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,462003
2014,201407,Imports,Belgium,Latvia,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,824326
2014,201407,Exports,Belgium,Albania,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,59274
2014,201407,Exports,Belgium,Cabo Verde,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,122760
2014,201406,Exports,Belgium,Slovenia,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,186
2014,201407,Exports,Belgium,Algeria,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,6917070
2014,201412,Imports,Belgium,Sweden,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,32798
2014,201406,Exports,Belgium,United Kingdom,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,4935631
2014,201409,Imports,Belgium,France,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,8679726
2014,201410,Exports,Belgium,Italy,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,5757965
2014,201407,Exports,Belgium,Antigua and Barbuda,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,52691
2014,201406,Exports,Belgium,South Africa,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,582846
2014,201406,Exports,Belgium,Germany,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,2720450
2014,201405,Imports,Belgium,Italy,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,24086
2014,201407,Exports,Belgium,Argentina,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,744
2014,201406,Exports,Belgium,Suriname,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,1238
2014,201405,Imports,Belgium,United Kingdom,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,5147606
2014,201407,Exports,Belgium,Bahrain,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,86246
2014,201406,Exports,Belgium,Syria,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,1013462
2014,201406,Exports,Belgium,Thailand,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,5802167
2014,201408,Imports,Belgium,Spain,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,317234
2014,201410,Exports,Belgium,Luxembourg,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,234746
2014,201407,Exports,Belgium,Bangladesh,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,592381
2014,201406,Exports,Belgium,Togo,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,55825
2014,201406,Exports,Belgium,Trinidad and Tobago,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,49000
2014,201406,Exports,Belgium,United Arab Emirates,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,603755
2014,201405,Imports,Belgium,Netherlands,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,11333591
2014,201406,Exports,Belgium,Tunisia,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,546894
2014,201406,Exports,Belgium,Netherlands,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,13689316
2014,201412,Exports,Belgium,United Kingdom,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,3719269
2014,201406,Exports,Belgium,Turkey,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,9199
2014,201406,Exports,Belgium,France,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,18394443
2014,201409,Exports,Belgium,Myanmar,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,447472
2014,201409,Exports,Belgium,Burundi,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,1023
2014,201410,Exports,Belgium,Spain,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,914614
2014,201408,Imports,Belgium,Italy,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,72773
2014,201405,Imports,Belgium,Norway,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,2484
2014,201408,Imports,Belgium,United Kingdom,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,4303154
2014,201405,Imports,Belgium,Germany,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,11370341
2014,201412,Exports,Belgium,Netherlands,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,11886959
2014,201409,Exports,Belgium,Cabo Verde,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,214293
2014,201409,Exports,Belgium,Central African Rep.,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,107848
2014,201410,Exports,Belgium,United Kingdom,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,5687952
2014,201406,Exports,Belgium,Egypt,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,1115608
2014,201408,Imports,Belgium,Netherlands,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,10257589
2014,201406,Exports,Belgium,Switzerland,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,214908
2014,201409,Exports,Belgium,China,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,348994
2014,201406,Exports,Belgium,Burkina Faso,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,98270
2014,201405,Exports,Belgium,Luxembourg,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,222637
